path_rel,loc,n_grid_like,n_form_controls,n_file_uploads,n_reports,n_devexpress,n_sql_calls_hint
WebGestor/Contabilidad/Contabilidad_TablasContables2.aspx.vb,464,7,0,0,0,0,2
WebGestor/Contabilidad/Contabilidad_Voucher.aspx,246,2,14,0,0,0,0
WebGestor/Contabilidad/Contabilidad_Voucher.aspx.vb,283,2,0,0,0,0,7
WebGestor/Contabilidad/Contabilidad_Voucher_Detalle.aspx,890,6,64,0,0,0,0
WebGestor/Contabilidad/Contabilidad_Voucher_Detalle.aspx.vb,1105,4,0,0,0,0,54
WebGestor/Contabilidad/PagPrincipal_Cont.master,89,0,0,0,0,0,0
WebGestor/Contabilidad/PagPrincipal_Cont.master.vb,20,0,0,0,0,0,0
WebGestor/Contact.aspx,19,0,0,0,0,0,0
WebGestor/Contact.aspx.designer.vb,16,0,0,0,0,0,0
WebGestor/Contact.aspx.vb,7,0,0,0,0,0,0
WebGestor/Contador.ascx,16,0,0,0,0,0,0
WebGestor/Contador.ascx.vb,16,0,0,0,0,0,0
WebGestor/ControlMenu.ascx,28,0,0,0,0,0,0
WebGestor/ControlMenu.ascx.vb,123,0,0,0,0,0,6
WebGestor/ControlPersonal/PagPrincipal_CPersonal.master,101,0,0,0,0,0,0
WebGestor/ControlPersonal/PagPrincipal_CPersonal.master.vb,20,0,0,0,0,0,0
WebGestor/ControlPersonal/Permisos.aspx,135,3,16,0,0,0,0
WebGestor/ControlPersonal/Permisos.aspx.vb,131,1,0,0,0,0,0
WebGestor/ControlPersonal/Person_Control_Asistencia.aspx,301,6,12,0,0,0,0
WebGestor/ControlPersonal/Person_Control_Asistencia.aspx.vb,486,0,0,0,0,0,9
WebGestor/ControlPersonal/Person_Control_Define_Horarios.aspx,200,2,6,0,0,0,0
WebGestor/ControlPersonal/Person_Control_Define_Horarios.aspx.vb,135,1,0,0,0,0,11
WebGestor/ControlPersonal/Person_Control_EntSal.aspx,357,9,12,0,0,0,0
