path,symbol,tb_layer,reason
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000357-14.JPG,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000357-14.JPG,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000530-13.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000530-13.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/5612986.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/5612986.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ADAPATADOR-56.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ADAPATADOR-56.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CABLE-04.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CABLE-04.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CABLE-23.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CABLE-23.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CAFETERA-03.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CAFETERA-03.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CARGADOR-21.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CARGADOR-21.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CONTROL-04.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CONTROL-04.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DETECTOR-04.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DETECTOR-04.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DOCKING-05.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DOCKING-05.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DOCKING-07.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DOCKING-07.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ECRAN-03.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ECRAN-03.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/EQUIPO-01.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/EQUIPO-01.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ESTUCHE-01.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ESTUCHE-01.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/FUNDA-01.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/FUNDA-01.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/IMPLEMENTOS-02.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/IMPLEMENTOS-02.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LAMPARA-04.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LAMPARA-04.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LENTE-03.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LENTE-03.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LENTE-04.jpeg,name-match,TB04,match por 'imagen' en nombre
