path_rel,asset_type,size_bytes,sha1
WebGestor/Fotos/LOGO-HACDATA.jpg,image,19935,46415e82e57c262e8b70aea63f78514a7721f41f
WebGestor/Fotos/logo_white.png,image,32576,decee9fcd9c1770110050fc406ea185370842443
WebGestor/Fotos/LogoBoton.jpg,image,18661,622943a6ba13fd7527a242b592bb4207417a7607
WebGestor/Fotos/LogoOpplus.jpg,image,4886,6d59a02fcf6e4f48d04af81041aaabd5bc0b38a8
WebGestor/Fotos/LogoOpplus1.JPG,image,5343,39cea2ca1ff3ec303958e889d67180b2103c42ac
WebGestor/Fotos/menu8.gif,image,826,3c586a3428477ae76fa57e6e67c4b534c60e35cc
WebGestor/Fotos/nodatafound.png,image,489,01354170e57d480b30b8c1eb03fefa6dcfefc6b2
WebGestor/Fotos/persona.jpg,image,18207,048afcb89b73853a7bd95388435c8a97e5d71147
WebGestor/Fotos/proceso.JPG,image,6527,408a02f1c0958776a8af1bfe165d14badc112b7b
WebGestor/Icono/Calendar-Time-256.png,image,12965,715147e9d4dc3e7f95d1d9effacf0391d4fc2d5c
WebGestor/Icono/CambioDeAccion_opt.png,image,1020,2a33fc1d5a993c80310713c7b9bc4a0118bc476a
WebGestor/Icono/CambioDeEstado_opt.png,image,2538,ebf9060f6bb2aa3aaa860c39276a3982f46e2698
WebGestor/Icono/delete.gif,image,463,ca00588279d134c5a27ee508a8a91dbe96f97013
WebGestor/Icono/delete2_opt.png,image,2251,dd7c1a4e4da61eb96e0c935fd746fc1206c240c0
WebGestor/Icono/details_opt.png,image,1953,e76dfc9e7ccd3b3e86962bf652b66bbcc7651bbd
WebGestor/Icono/download.gif,image,37115,05bff1e58950cd52f5758fd6816224026817804c
WebGestor/Icono/download.png,image,349,5791f7ff6141dc243f8e7202781120cc8c57e62c
WebGestor/Icono/edit.gif,image,1107,65485b0c94da1e7e0f7ffe3e779ae316c23b1af9
WebGestor/Icono/Editar_opt.png,image,1566,529127461e0844b702f25558f14eed41a4ca7694
WebGestor/Icono/EDITAR_TIEMPO_opt.png,image,1902,91f8fc7c2e08b8fdd795165c5d3383fcfdc3dd48
WebGestor/Icono/Icon_Menu.png,image,258,0ea1ccb35a09f1b7822c92769185faf98130cd04
WebGestor/Icono/loadin-barra.gif,image,20089,1037e333074d08faf7e1c3eae126d0fb7ffe7113
WebGestor/Icono/loading-point.gif,image,57397,26d5973be623064348a72fe15ed4ac131be97702
WebGestor/Icono/LOGO WEB HACDATA.jpg,image,17544,005587e9cc0acf841f1735fff6bc434b7ca35ef2
WebGestor/Icono/LOGO-HACDATA-M.jpg,image,4617,42d0da2281311e3418f6b76396ee586990a5a32a
WebGestor/Icono/minus.gif,image,80,dfa31db003b0c8cda9eb9518a475e3c3f739259e
WebGestor/Icono/ok.png,image,1868,bf0db6985d91bd96ffaaace3098e5e23324a8ba1
WebGestor/Icono/ok20.png,image,1470,e5fd0ac6ade0196ad3e9ba847039bcaf8bc484fa
WebGestor/Icono/plus.gif,image,151,fe4b9d61e612521ea40cc3a6d0d76f429fa88790
WebGestor/Icono/Tracking_opt.png,image,1912,028e2364ad4847254dd7cb4a75c5bac31c0450e3
WebGestor/Icono/upload.png,image,1870,204540d0c9f1228f06d5ec04516ab70b91b220d9
WebGestor/Icono/visualizar.png,image,1755,1de05a41e75f4d9c208274d21978c07f2c978120
WebGestor/Icono/WORKR01E.ICO,image,766,0e0600e0031b57ffceed6298834b36193d201f0d
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-17.jpeg,image,130912,884c07180d2a78747d521552bd40c5e16c421ff4
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-53.jpeg,image,46398,dc85dc38872774bbbd5cb376bfefa834b3f6c318
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-54.jpeg,image,16785,d79ebcda7798ae3c2948c9b0e670e1959c8cc6c6
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-72.jpeg,image,33702,cd68c69a7809adf81855be4522e174ee51e71cbc
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-73.jpeg,image,47595,dc28be99259d6acb602b7551ced0db2292adddd0
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000108-43.jpeg,image,21416,49d2c2edfd63bcb80a0a7b17974dddcafe7cd8b4
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000112-30.jpeg,image,18933,9fbc19beea918707351c91d4611d7e2a698ed24c
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000177-04.jpeg,image,11416,5bff68f755b789a21fec2b5f5b373fa27cffce27
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000185-03.jpeg,image,43425,057eaa3bfd560934a78511ffbc5d78bce6a1191f
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000200-57.jpeg,image,30367,666a2f4a8ead8f532d63e34116496b516aa36634
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000202-22.jpeg,image,12383,20aa0c8a1cafb80fba968b5dc61fa383956c0335
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110001620-35.jpeg,image,54382,27e28593419a889c91d043d04d7f0a45621f9a38
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110001620-45.jpeg,image,148104,b39bd6891fec4f446d2b3a4ed0541efff2ea53a9
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110012435-02.jpeg,image,43277,2d56788a1ad58ad2d67c4e2ec26350ee6c75277f
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000114-01.jpeg,image,14819,776181905f158830066fddd69806cd6a9a151325
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000118-01.jpeg,image,25993,53fd768039ddbc62af91d8c5714f79fe4f86db4e
