path_rel,language,loc,avg_line_length,num_functions,decision_points,comment_lines,comment_ratio,complexity_score
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx.vb,vb,731,59.23,79,311,15,0.021,390
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx,aspx,591,101.49,0,156,0,0.0,157
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx.vb,vb,707,58.77,73,296,11,0.016,369
WebGestor/CAS/Cas_RedireccionarIncidencia.aspx,aspx,225,51.66,0,27,0,0.0,28
WebGestor/CAS/Cas_RedireccionarIncidencia.aspx.vb,vb,109,53.63,11,50,1,0.009,61
WebGestor/CAS/Cas_Registra_Incidentes.aspx,aspx,1140,68.98,0,283,0,0.0,284
WebGestor/CAS/Cas_Registra_Incidentes.aspx.vb,vb,788,57.15,98,298,22,0.028,396
WebGestor/CAS/Cas_Relacion_AvisoxUsuario.aspx,aspx,175,47.07,0,5,0,0.0,6
WebGestor/CAS/Cas_Relacion_AvisoxUsuario.aspx.vb,vb,28,40.46,2,7,9,0.321,9
WebGestor/CAS/Cas_Relacion_Estadisticas.aspx,aspx,163,58.29,0,15,0,0.0,16
WebGestor/CAS/Cas_Relacion_Estadisticas.aspx.vb,vb,158,70.06,8,84,25,0.158,92
WebGestor/CAS/Cas_Relacion_Reportes.aspx,aspx,172,64.05,0,34,0,0.0,35
WebGestor/CAS/Cas_Relacion_Reportes.aspx.vb,vb,318,75.15,12,153,0,0.0,165
WebGestor/CAS/Cas_RelacionIncidentes.aspx,aspx,396,92.81,0,83,0,0.0,84
WebGestor/CAS/Cas_RelacionIncidentes.aspx.vb,vb,375,59.24,49,162,1,0.003,211
WebGestor/CAS/Cas_Rep_ConsultaxOficiona.aspx,aspx,48,48.04,0,1,0,0.0,2
WebGestor/CAS/Cas_Rep_ConsultaxOficiona.aspx.vb,vb,5,16.0,0,0,0,0.0,1
WebGestor/CAS/Cas_Rep_PorCargos.aspx,aspx,66,51.97,0,2,0,0.0,3
WebGestor/CAS/Cas_Rep_PorCargos.aspx.vb,vb,12,28.83,2,0,0,0.0,2
WebGestor/CAS/Cas_Rep_RankingTerritorial.aspx,aspx,65,48.95,0,1,0,0.0,2
WebGestor/CAS/Cas_Rep_RankingTerritorial.aspx.vb,vb,5,18.0,0,0,0,0.0,1
WebGestor/CAS/Cas_Rep_RegistroPorductoXOficina.aspx,aspx,54,41.85,0,1,0,0.0,2
WebGestor/CAS/Cas_Rep_RegistroPorductoXOficina.aspx.vb,vb,5,19.2,0,0,0,0.0,1
WebGestor/CAS/Cas_Rep_RegistroTematicasXOficina.aspx,aspx,58,46.86,0,2,0,0.0,3
WebGestor/CAS/Cas_Rep_RegistroTematicasXOficina.aspx.vb,vb,8,34.0,2,0,0,0.0,2
WebGestor/CAS/Cas_Rep_RegistroTerritorioXOficina.aspx,aspx,51,44.65,0,1,0,0.0,2
WebGestor/CAS/Cas_Rep_RegistroTerritorioXOficina.aspx.vb,vb,5,19.6,0,0,0,0.0,1
WebGestor/CAS/CasReporte_IncidenteTotales.aspx,aspx,81,53.84,0,2,0,0.0,3
WebGestor/CAS/CasReporte_IncidenteTotales.aspx.vb,vb,8,32.75,2,0,0,0.0,2
WebGestor/CAS/CasReporte_IncidentexComponente.aspx,aspx,80,54.55,0,2,0,0.0,3
WebGestor/CAS/CasReporte_IncidentexComponente.aspx.vb,vb,12,35.08,4,0,3,0.25,4
WebGestor/CAS/CasReporte_IncidentexElemento.aspx,aspx,76,54.03,0,2,0,0.0,3
WebGestor/CAS/CasReporte_IncidentexElemento.aspx.vb,vb,8,33.0,2,0,0,0.0,2
WebGestor/CAS/CasReporte_IncOficinaxComponente.aspx,aspx,65,56.63,0,2,0,0.0,3
WebGestor/CAS/CasReporte_IncOficinaxComponente.aspx.vb,vb,8,33.38,2,0,0,0.0,2
WebGestor/CAS/CasReporte_ResumenBD.aspx,aspx,80,54.11,0,2,0,0.0,3
WebGestor/CAS/CasReporte_ResumenBD.aspx.vb,vb,8,31.88,2,0,0,0.0,2
WebGestor/CAS/MP_PrincipalCas.master.vb,vb,138,57.07,10,37,9,0.065,47
WebGestor/CAS/PagPrincipal_Cas.master.vb,vb,20,42.65,2,5,1,0.05,7
WebGestor/CMenuLeft.ascx,ascx,11,64.09,0,1,0,0.0,2
WebGestor/CMenuLeft.ascx.vb,vb,166,53.77,10,43,27,0.163,53
WebGestor/Contabilidad/Contabilidad_PCGR.aspx,aspx,387,92.88,0,116,0,0.0,117
WebGestor/Contabilidad/Contabilidad_PCGR.aspx.vb,vb,69,51.55,14,19,2,0.029,33
WebGestor/Contabilidad/Contabilidad_Personas.aspx,aspx,272,71.11,0,99,0,0.0,100
WebGestor/Contabilidad/Contabilidad_Personas.aspx.vb,vb,713,67.0,51,422,64,0.09,473
WebGestor/Contabilidad/Contabilidad_Personas_Detalle.aspx,aspx,73,52.75,0,2,0,0.0,3
WebGestor/Contabilidad/Contabilidad_Personas_Detalle.aspx.vb,vb,5,19.4,0,0,0,0.0,1
WebGestor/Contabilidad/Contabilidad_Registrar_Clientes.aspx,aspx,50,57.2,0,11,0,0.0,12
WebGestor/Contabilidad/Contabilidad_Registrar_Clientes.aspx.vb,vb,5,19.8,0,0,0,0.0,1
WebGestor/Contabilidad/Contabilidad_TablasContable.aspx,aspx,577,96.47,0,153,0,0.0,154
WebGestor/Contabilidad/Contabilidad_TablasContable.aspx.vb,vb,983,54.11,166,444,2,0.002,610
WebGestor/Contabilidad/Contabilidad_TablasContables2.aspx,aspx,696,92.09,0,86,0,0.0,87
WebGestor/Contabilidad/Contabilidad_TablasContables2.aspx.vb,vb,463,48.93,81,153,17,0.037,234
WebGestor/Contabilidad/Contabilidad_Voucher.aspx,aspx,245,61.75,0,53,0,0.0,54
WebGestor/Contabilidad/Contabilidad_Voucher.aspx.vb,vb,282,58.87,33,127,2,0.007,160
WebGestor/Contabilidad/Contabilidad_Voucher_Detalle.aspx,aspx,889,60.47,0,135,0,0.0,136
WebGestor/Contabilidad/Contabilidad_Voucher_Detalle.aspx.vb,vb,1104,57.09,87,626,20,0.018,713
